City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,vico del gargano,41.8983,15.9576,78.26,59,6,2.73,IT,1692033982
332,geraldton,-28.7667,114.6,46.81,93,1,9.22,AU,1692033982
333,mana,5.6592,-53.7767,81.55,74,31,6.42,GF,1692033983
334,nagqu,31.5,92.0,47.16,78,100,2.01,CN,1692033730
335,ad dabbah,18.05,30.95,104.0,11,76,15.26,SD,1692033983
336,lagoa,39.05,-27.9833,74.08,79,15,10.36,PT,1692033984
337,tamiahua,21.2667,-97.45,88.0,61,32,7.54,MX,1692033984
338,tamanrasset,22.785,5.5228,93.11,13,40,2.3,DZ,1692033984
339,huayin,34.5675,110.0921,78.8,65,68,9.93,CN,1692033984
340,campbell river,50.0163,-125.2446,77.38,53,0,10.36,CA,1692033985
341,enewetak,11.3474,162.3373,83.75,78,98,16.2,MH,1692033985
342,piacabucu,-10.4056,-36.4344,79.27,63,23,13.38,BR,1692033985
343,wuyang,31.9925,116.2472,76.77,90,9,1.45,CN,1692033986
344,camalu,30.85,-116.0667,74.41,66,35,8.5,MX,1692033986
345,calama,-22.4667,-68.9333,75.45,5,0,10.51,CL,1692033898
346,sirsilla,18.3833,78.8333,77.7,76,93,3.27,IN,1692033986
347,hastings,50.8552,0.5729,69.55,31,31,12.41,GB,1692033986
348,meridian,43.6121,-116.3915,86.47,30,0,11.99,US,1692033796
349,junagarh,19.8667,82.9333,77.97,85,100,4.54,IN,1692033986
350,la'ie,21.6477,-157.9253,80.56,74,16,12.03,US,1692033987
351,kencong,-8.2833,113.3667,72.12,93,82,1.16,ID,1692033987
352,naigarhi,24.7833,81.7833,83.43,64,59,5.66,IN,1692033987
353,yuzhno-kurilsk,44.0306,145.8556,57.67,90,100,11.54,RU,1692033987
354,zaysan,47.4667,84.8667,52.18,62,7,5.19,KZ,1692033988
355,ustka,54.5805,16.8619,74.64,72,100,5.99,PL,1692033988
356,uttarkashi,30.7333,78.45,72.27,97,100,0.76,IN,1692033988
357,serhetabat,35.2799,62.3438,75.11,11,0,16.17,TM,1692033988
358,xinyuan,37.3,99.0,44.8,87,90,3.15,CN,1692033988
359,dryden,49.7833,-92.7503,71.89,43,0,5.75,CA,1692033839
360,zhengzhou,34.7578,113.6486,77.49,69,0,3.06,CN,1692033849
361,nouadhibou,20.931,-17.0347,78.78,78,37,17.27,MR,1692033989
362,bay saint louis,30.3088,-89.33,97.16,57,40,9.22,US,1692033989
